User ID,Username,Profile Picture URL,Account Creation Date,Number of Friends,Account Type,Bio,Location,Number of Posts,Number of Likes,Number of Comments,Last Active Date,Recent Posts,Sentiment Score,Is Fake Profile
80a4f202-73cd-4482-9510-0a88a41b1695,henrymartinez,https://dummyimage.com/357x687,2020-09-10,49,Business,Animal forward appear candidate.,Kimfort,31,423,161,2023-06-10,"['Also have hair shake. School man sort agency without attack.\nProtect activity data watch benefit outside seven play. Foreign meeting watch pay ten size interesting. Serious call society house when.', 'Thus professional us these little myself Republican. Somebody serve pull risk. Media successful reduce suffer among important.\nInvolve guess everybody. The determine station material yet.']",Negative,1
32cfafc2-19ec-4630-8b2a-6a1b8a2a2cc0,maldonadobenjamin,https://picsum.photos/307/116,2022-05-31,3981,Personal,Base almost person second must class operation.,North Shawn,23,646,116,2024-08-10,"['Skill health large decide he some this. Product red lose power certainly believe.\nFeeling sure discuss address young.', 'New quite range capital specific necessary attack want. Billion arm think white. Ground small lot.\nOutside while daughter know finally.', 'New rise group need cut. Nice wind anything interesting at second. Such policy appear.\nMember rock religious article not. Pass bill where without ten coach.', 'Agency road great international despite name. Again even once so.\nSong education gun ground his general government cold. Animal couple real. Now arm above send.']",Neutral,1
b39f8209-95f4-440c-969a-f2ca631d9294,ghumphrey,https://picsum.photos/392/635,2024-12-21,4257,Personal,Fast quickly exist able body civil thought.,North Robert,3,59,14,2024-12-24,"['No teach enter drop this. Debate left fear first across institution national song.\nAlways feeling agree city style trade large. Wind these talk job ready from.', 'Nice understand general six behavior mission. Population interesting reduce alone Republican safe know. Idea own image eight.', 'Include lawyer near officer artist according message maintain. Wrong her head seven system. Yet keep drug figure.', 'Knowledge deep term leader cell human. Window space street large. Technology have state end series.']",Neutral,0
6d48bc2e-c53a-428f-a78d-5d9b9f6f0605,carl15,https://dummyimage.com/633x390,2024-10-06,3912,Personal,Throw light everybody more.,Lake Larry,39,6,68,2025-02-13,"['Develop difficult real. Pull others federal hear everybody skill. Magazine near deal.\nBeyond early however analysis. Type right wide maintain bank other individual until.', 'Power successful then state by feel because. Build might nation local government significant out.\nForm sometimes begin poor serious.']",Neutral,0
6dc7104e-1c24-43a8-a17e-ad56c9304dd9,charles78,https://dummyimage.com/870x434,2024-09-19,1851,Business,Listen gun him commercial.,Skinnerton,16,844,427,2024-09-23,"['Institution herself agency detail scientist street. Agency paper image money difficult college. Air wall you face final.\nLead before event tell. Thank avoid miss set result whatever.', 'Media stock effort then employee. Interview total lawyer become despite. The room sing structure call probably common result.\nHowever similar try month. Over scientist lay prove.']",Positive,0
605862b5-2315-47cd-9e7a-3061447a5acc,vjohnson,https://placekitten.com/877/824,2023-01-10,2230,Personal,Live practice value visit wear method stand fact.,Chelseafort,72,570,346,2024-01-13,"['Friend song reality left cell car. Summer interview happen positive carry even much.\nWay argue look growth machine deal. Ability data hot consider wait. Small use order reflect break edge.', 'Because customer worry these factor. Sort become toward field. Family federal air eat least.\nConference nature inside yard agent. Civil tonight take build.']",Neutral,1
4c95fa7f-96f0-42bd-9475-9d47357bb6cd,ashley41,https://placekitten.com/286/709,2022-03-04,1973,Personal,His modern care tree thank practice organization.,Reneechester,81,654,254,2022-08-20,"['Sign doctor father culture scene those politics then. Discover candidate beyond home poor avoid care.\nEdge development rule. North know study.', 'Sort about hand trial team wide return. Computer police significant Mrs.\nAnd view develop of well another. Campaign during life network.\nNotice another decision. Soldier light child now me.', 'Worry challenge until. Forward item live standard analysis compare. Effect American coach over age.\nGet front manage everybody entire. Arm it determine yard dinner.', 'Down yourself bad. Full soldier stock beyond food serve responsibility. Interesting method husband four. Interesting sound may west.']",Negative,1
3e6ffbee-2bd5-4066-97bc-b832f5a602ac,ewashington,https://placekitten.com/606/808,2024-02-22,4449,Personal,Choose few agree short.,West Sharon,3,512,346,2024-12-17,"['Four benefit behavior apply reality. Feel PM single technology. Society move time design PM.', 'Represent manager thought support least pressure imagine throughout. Almost race base fast political.', 'Suddenly woman wife civil spend might magazine take. You democratic every control suffer item. Sure my reflect least especially occur Democrat send.', 'Staff scene clear someone. Anyone during three describe level.\nCost us police market section. Term investment skill society. Ball training vote traditional air election watch.', 'Who whatever citizen care need second defense. Concern bed trial five.\nShake pay account after. Begin area us suddenly. Agreement after administration I myself experience world.']",Negative,0
4e85fb2c-1265-45be-a38e-6356971ef722,mezatodd,https://placekitten.com/232/391,2023-11-27,1971,Business,Tonight capital argue last.,Toddburgh,100,817,3,2024-09-04,"['I trial phone themselves order generation seek. Occur cell cost guy management billion.', 'Board college risk way. Serious society situation she past opportunity.\nMonth area yes. Effect church popular. Find where lot call specific else. Water guy morning friend affect woman cell.']",Neutral,0
870649c4-3b49-4489-bb77-277d04a6660b,smithdustin,https://placekitten.com/586/248,2024-05-31,4366,Business,Scene choose hotel director.,West Robert,99,925,260,2024-09-28,['Skin movement lead receive. Different property free seven seek modern report.\nReally model many very behavior. Nothing box artist sure themselves.'],Neutral,0
